N,P,K,pH,temperature,humidity,rainfall,crop,fertilizer,quantity
64,31,110,4.97,29.33,44.43,226.4,1,1,28.5
77,54,74,4.68,33.1,31.26,2050.4,1,0,32.1
64,71,83,6.25,19.97,33.83,2548.91,6,3,27.3
57,51,69,7.88,20.19,31.95,269.38,3,5,40.99999999999999
70,76,71,5.55,23.53,38.76,1579.1,4,1,28.8
43,18,69,6.19,15.11,82.59,294.45,6,5,55.1
110,73,107,4.66,37.82,47.03,2645.22,6,0,3.299999999999999
44,24,25,6.3,31.16,58.78,650.28,6,5,70.6
89,39,114,6.81,23.01,59.23,363.87,4,1,17.0
68,35,16,6.78,13.67,89.72,2601.55,6,1,63.699999999999996
36,78,86,5.83,35.46,51.88,1444.62,1,5,32.4
62,31,77,5.76,24.51,45.91,467.15,2,1,42.3
101,63,112,4.93,33.91,87.79,2014.17,5,0,6.9999999999999964
82,67,104,5.97,11.0,65.55,2175.68,6,6,14.699999999999996
43,88,83,4.9,18.21,47.37,1791.34,0,5,28.500000000000004
52,62,21,7.57,28.66,47.25,1129.96,1,5,58.4
36,28,107,8.37,24.64,35.18,1388.56,3,5,39.0
63,43,101,8.38,18.85,63.41,2873.55,3,6,28.799999999999997
126,23,14,7.96,16.03,73.42,1696.21,1,1,50.7
118,31,101,6.9,19.05,58.48,1311.77,5,1,15.899999999999997
48,22,56,7.3,32.27,83.07,2182.94,2,5,57.6
31,73,20,5.64,15.51,59.04,413.24,5,5,61.8
119,65,43,7.02,27.81,50.78,1012.64,3,2,28.6
146,81,88,6.32,22.71,45.05,834.12,4,0,0.0
156,51,60,6.43,32.89,44.6,2104.29,4,4,14.899999999999999
105,75,14,7.53,16.05,48.99,1890.96,2,2,41.400000000000006
72,72,57,5.63,18.1,89.52,2326.42,6,3,35.0
80,51,94,5.77,21.96,51.65,1394.96,2,3,24.099999999999998
132,43,40,8.2,15.0,61.48,687.04,5,6,32.5
67,38,49,4.72,23.84,46.48,711.92,5,1,49.9
127,35,16,6.44,22.48,38.61,2698.31,0,1,46.0
98,32,108,8.15,39.7,68.75,409.7,2,1,18.799999999999997
66,45,94,6.94,27.82,62.71,1863.54,5,1,30.1
86,18,49,6.69,12.08,34.07,848.68,6,1,50.199999999999996
83,51,78,5.5,23.8,82.97,799.98,0,3,29.599999999999998
141,76,23,5.87,36.36,60.46,475.54,2,2,26.7
63,16,107,7.91,36.0,50.12,2941.99,5,1,34.5
24,32,19,6.74,38.85,76.76,370.76,3,5,76.6
113,41,91,6.56,36.83,36.73,613.7,1,1,18.4
98,32,90,4.9,15.29,58.43,1222.47,6,1,26.0
58,25,111,4.56,10.11,62.93,1476.23,2,5,31.699999999999996
121,78,58,8.35,28.49,76.51,2862.24,4,6,18.1
111,22,105,6.01,31.07,52.21,877.01,5,1,19.099999999999998
40,19,26,6.91,13.94,81.3,2218.74,6,5,72.9
93,68,95,4.82,15.01,71.86,2037.89,4,0,14.699999999999996
47,11,98,7.23,38.89,76.26,1648.99,1,5,44.39999999999999
132,89,60,8.23,38.31,88.14,944.97,1,6,10.7
47,61,89,6.8,14.71,80.69,638.58,1,5,33.0
105,10,71,5.0,17.41,50.81,694.26,6,1,38.1
121,79,39,6.83,36.76,68.75,1168.78,2,2,25.400000000000002
38,63,64,7.57,23.05,82.12,583.94,4,5,45.1
82,28,43,6.13,33.94,61.51,2996.03,3,1,50.8
135,37,78,8.02,21.88,70.97,1448.29,0,1,18.2
57,14,117,7.09,32.09,40.34,1709.17,1,5,32.900000000000006
65,85,42,8.1,21.9,78.95,1926.08,3,6,39.2
111,39,14,6.99,36.98,75.45,748.2,6,1,50.400000000000006
28,28,113,5.03,19.77,83.33,1548.91,0,5,39.0
28,51,51,5.74,25.69,72.61,376.09,2,5,56.9
40,34,12,5.31,25.65,82.61,2913.67,2,5,74.0
43,44,72,8.14,29.47,39.73,1523.91,2,5,46.1
114,18,47,7.54,19.2,78.82,283.05,3,1,42.6
112,48,22,7.21,29.28,87.18,1877.41,2,2,44.2
59,65,17,5.7,14.23,78.93,480.32,2,5,57.0
151,47,70,5.24,36.81,66.91,2411.95,3,0,13.6
150,24,39,7.53,14.33,85.59,2869.4,2,1,33.2
40,55,59,6.4,35.21,35.67,2766.37,1,5,48.9
27,46,78,5.4,30.79,31.01,1397.79,3,5,47.89999999999999
139,69,47,6.97,20.23,87.92,2195.23,2,2,19.8
129,71,68,4.66,19.82,70.98,636.25,3,0,13.8
148,40,104,5.8,38.98,36.85,411.95,2,3,2.9999999999999982
33,39,11,6.37,15.85,50.4,2498.94,0,5,75.0
95,75,66,5.09,31.69,74.93,2146.47,5,0,23.6
55,16,16,8.44,15.51,75.02,2739.77,0,5,73.30000000000001
136,39,89,5.34,37.16,40.2,2760.85,6,1,12.9
64,42,19,5.02,32.26,58.21,1172.38,1,2,61.60000000000001
30,47,38,5.31,37.98,78.44,1092.21,1,5,62.7
86,28,103,7.58,36.37,88.01,1437.32,5,1,25.599999999999994
117,18,93,6.2,26.48,67.35,2063.91,3,1,23.3
109,41,115,6.76,14.57,68.29,213.97,1,3,10.0
132,39,43,4.58,16.64,58.16,1696.91,1,1,32.5
109,15,81,4.64,16.05,62.34,255.25,5,1,31.4
108,70,107,6.28,16.62,35.94,1461.89,4,1,4.799999999999999
30,46,107,7.77,24.29,50.98,430.38,5,5,35.400000000000006
99,88,54,8.04,36.03,60.44,1774.21,5,6,23.299999999999997
103,80,109,4.85,10.69,46.5,1079.97,2,0,2.4999999999999982
125,87,80,6.65,17.15,51.59,1540.96,5,3,5.4
135,29,67,8.15,27.9,88.27,2881.54,3,1,24.999999999999996
21,39,87,6.05,35.96,30.31,1154.71,2,5,48.199999999999996
73,27,93,7.82,18.92,48.16,2213.99,4,1,33.8
112,72,110,5.03,21.48,65.04,2113.23,6,0,1.8000000000000007
26,70,42,8.24,21.2,46.74,2633.0,5,5,55.4
59,66,104,7.51,18.81,70.59,1136.35,0,5,21.9
64,31,106,8.27,30.96,47.96,357.02,1,1,30.1
151,58,99,7.21,29.67,68.29,2917.77,1,3,0.0
126,27,99,5.95,35.3,80.99,1214.6,5,1,15.499999999999996
53,70,60,8.25,37.53,69.52,742.47,4,5,40.099999999999994
27,87,73,5.6,37.01,32.99,2759.48,5,5,37.599999999999994
51,77,47,5.83,26.2,77.71,733.71,2,5,43.8
94,16,89,7.3,15.57,42.77,1680.52,1,1,32.4
56,16,21,7.56,16.66,68.09,2315.4,0,5,71.0
55,74,72,8.22,27.71,68.8,2246.84,3,5,33.5
29,49,74,5.32,37.55,78.22,282.5,4,5,47.99999999999999
89,33,69,7.69,25.91,60.35,766.82,1,1,36.8
137,41,117,7.45,38.07,52.56,2687.78,0,0,0.7999999999999989
114,19,29,4.76,17.87,61.08,1748.91,1,1,49.5
91,18,75,6.05,12.59,62.75,2124.22,1,1,38.3
142,48,104,5.63,33.89,79.29,1326.42,3,3,2.3999999999999986
80,12,27,5.72,36.38,42.3,2286.57,4,1,62.6
55,78,51,8.43,23.44,80.81,1009.47,2,5,40.7
57,16,83,7.07,13.07,51.94,849.69,5,5,45.89999999999999
123,21,15,7.37,11.27,74.63,2991.91,4,1,51.8
111,32,75,8.41,11.88,50.14,641.42,0,1,28.099999999999998
25,72,89,6.01,23.17,72.53,2947.81,5,5,36.3
152,26,78,7.71,17.04,77.95,2794.23,5,1,16.4
111,87,111,6.24,23.86,63.48,2201.09,2,6,0.0
20,73,95,7.98,24.65,67.17,1829.52,2,5,35.1
33,74,31,5.22,23.74,72.47,212.68,4,5,56.5
102,37,31,8.29,28.6,71.31,1978.8,6,1,46.9
50,67,74,5.38,30.38,73.64,2362.75,3,5,36.3
140,27,109,5.8,21.88,80.98,2252.05,1,1,7.299999999999997
98,53,58,7.52,20.11,43.23,681.78,4,5,32.5
121,73,86,6.08,21.05,42.88,1724.69,6,3,8.399999999999999
51,46,21,6.93,12.11,88.24,1740.55,4,5,63.5
76,12,72,6.28,19.65,81.08,2028.07,5,1,45.8
50,23,22,7.47,16.0,65.5,2526.65,5,5,70.3
77,16,71,5.41,18.73,30.49,2155.05,1,1,44.699999999999996
67,26,68,4.73,31.43,81.29,595.66,4,1,45.89999999999999
142,79,20,5.7,39.66,75.1,253.29,1,2,26.7
60,88,91,6.4,37.71,87.38,582.44,2,6,20.200000000000003
140,48,95,5.17,34.65,30.79,312.79,0,0,6.6
80,14,10,5.92,32.12,31.71,1422.97,4,1,68.8
151,88,77,6.1,38.35,61.05,994.51,3,6,0.0
139,61,18,4.73,32.56,81.36,220.47,1,2,33.8
115,35,12,6.83,24.13,89.48,424.78,2,1,51.2
131,48,81,8.04,28.04,49.2,1313.12,3,6,14.9
60,54,18,5.11,19.17,32.18,2831.33,0,2,59.599999999999994
45,86,91,6.89,10.1,41.73,2985.44,3,5,25.299999999999997
38,40,78,7.16,20.61,82.62,340.34,3,5,46.4
106,86,31,6.18,22.14,57.99,2525.62,5,2,31.0
44,32,110,7.3,31.99,81.2,1544.72,0,5,34.199999999999996
66,49,78,6.14,35.78,56.63,1938.92,2,3,35.3
27,41,32,6.52,38.88,33.2,1616.71,4,5,67.8
22,13,89,4.53,20.55,67.05,2788.62,0,5,54.9
52,55,14,7.27,38.72,56.14,1539.76,6,5,63.3
131,84,110,7.15,33.98,59.48,670.32,1,3,0.0
41,51,117,4.65,10.93,86.94,2383.59,5,5,26.59999999999999
118,48,48,5.97,27.86,57.42,1638.57,2,2,32.0
117,79,12,8.42,20.97,77.79,527.79,2,2,37.400000000000006
49,65,35,6.18,11.02,33.53,1492.46,1,5,52.8
66,56,17,6.51,25.95,58.74,2124.71,2,2,57.6
78,47,94,8.14,27.54,65.2,1028.35,2,6,25.9
33,27,61,7.37,17.57,36.79,2753.53,4,5,58.6
92,11,91,6.83,38.2,48.13,2579.88,2,1,33.699999999999996
124,63,78,7.69,28.31,74.38,1790.11,0,4,13.7
33,39,15,7.96,15.28,41.03,352.24,5,5,73.4
68,13,36,6.33,31.64,37.71,1833.14,1,1,62.3
22,16,95,6.4,24.97,47.96,1363.69,1,5,51.599999999999994
42,88,31,6.04,24.2,81.54,2227.39,2,5,49.6
128,66,111,8.37,35.04,75.78,947.69,2,6,0.0
62,39,65,7.29,14.15,76.61,1896.14,3,1,44.699999999999996
90,53,111,4.83,24.73,49.35,1752.42,0,0,13.700000000000001
74,86,52,7.95,33.42,35.94,1675.18,3,6,32.2
145,38,36,6.42,29.81,31.92,524.55,6,1,31.700000000000003
101,45,54,4.78,10.16,65.17,1571.68,6,0,35.6
60,57,55,6.7,33.62,72.14,1741.74,6,3,43.9
150,28,42,6.17,38.34,52.67,2797.44,4,1,30.8
22,72,115,8.01,31.14,61.73,1490.42,5,5,26.799999999999997
119,11,104,5.32,36.28,46.74,1991.62,5,1,20.4
42,23,37,7.81,20.82,51.86,1793.89,0,5,66.7
146,89,103,6.73,20.52,73.79,746.69,4,6,0.0
77,44,107,4.72,19.63,73.09,716.35,6,0,21.899999999999995
137,30,118,8.39,32.05,31.69,2270.31,2,1,3.6999999999999975
136,26,90,6.55,38.26,86.65,1664.58,4,1,16.4
101,41,60,5.66,36.56,46.14,2708.89,1,2,34.4
121,32,73,6.38,14.51,84.46,2742.83,4,1,25.9
153,15,44,7.93,28.78,60.71,1031.81,5,1,33.0
127,38,45,5.72,39.88,59.95,484.28,0,1,33.5
65,72,15,5.27,18.86,57.04,1163.43,3,2,53.9
25,79,118,5.02,29.04,85.35,387.71,0,5,22.599999999999994
142,13,102,5.69,37.2,42.49,2387.51,3,1,13.699999999999996
111,67,67,7.62,36.99,66.7,609.31,5,3,20.8
38,40,32,6.39,19.64,49.07,2625.81,2,5,64.80000000000001
33,31,23,5.41,12.82,84.91,1362.92,4,5,72.6
84,36,82,5.16,29.38,40.16,980.09,4,1,32.2
115,25,65,5.83,38.41,70.57,1604.25,0,1,33.0
65,15,88,8.26,25.24,55.31,1895.32,2,1,41.8
35,89,111,5.87,23.73,69.67,2164.32,5,5,19.4
127,16,34,8.45,35.92,39.46,1146.91,3,1,44.5
158,23,29,6.44,22.74,53.62,2952.32,6,1,35.1
37,12,116,5.22,30.43,36.44,1382.4,2,5,39.9
127,58,95,8.06,21.66,88.13,2536.51,6,6,7.5
88,45,80,6.34,21.31,42.84,297.63,5,4,29.099999999999998
139,38,27,7.34,15.63,89.59,2378.3,4,1,37.1
107,13,26,8.43,12.65,55.11,1743.75,4,1,54.6
109,49,23,4.7,36.55,34.29,1990.95,2,2,44.4
35,50,35,4.89,15.44,31.05,1244.06,2,5,61.5
121,31,113,7.38,11.87,65.94,1725.55,2,1,10.199999999999998
153,88,41,5.63,27.47,66.88,2810.22,1,0,12.3
144,13,102,5.24,26.38,61.49,1280.9,4,1,13.099999999999998
139,32,113,4.66,27.03,33.98,496.14,2,1,4.499999999999998
95,13,68,4.59,24.04,49.89,2217.44,4,1,41.39999999999999
92,77,80,7.6,14.26,51.54,1614.46,1,6,18.299999999999997
60,27,66,5.04,10.63,72.29,1389.84,1,1,48.5
125,10,82,6.37,11.39,55.13,2377.89,0,1,27.7
140,41,21,6.92,38.29,64.38,1774.1,2,2,38.3
108,30,12,6.21,25.96,47.18,1967.87,4,1,54.800000000000004
137,47,41,4.61,21.99,73.56,2793.01,6,0,29.400000000000002
85,35,106,7.63,22.32,32.81,363.83,4,1,22.6
65,50,24,4.54,29.57,89.31,934.67,4,2,56.900000000000006
127,58,18,7.55,21.3,68.49,2715.02,2,2,38.3
23,50,58,8.07,33.89,38.93,2419.64,5,5,55.900000000000006
157,68,53,6.23,17.8,73.05,728.08,3,1,12.3
114,13,90,6.64,21.02,77.19,673.53,3,1,26.9
125,22,37,6.41,38.05,77.32,2510.38,0,1,42.099999999999994
99,70,54,6.06,17.81,46.24,1748.02,6,3,28.699999999999996
70,60,22,8.05,29.85,87.52,2608.95,3,2,53.2
153,44,56,8.08,20.94,31.06,2769.52,2,6,19.5
140,74,30,5.84,24.14,52.79,394.72,2,2,24.8
23,58,59,6.96,11.36,36.25,2915.38,5,5,53.1
110,58,56,8.21,15.02,53.09,2206.13,6,6,28.200000000000003
73,23,14,8.35,13.06,33.43,2536.5,1,1,66.6
22,46,16,6.54,35.34,68.7,1964.94,4,5,74.19999999999999
49,39,47,6.31,38.85,33.75,1054.45,0,5,55.8
95,23,46,5.61,12.04,66.95,1878.41,6,1,47.199999999999996
60,84,92,8.34,12.31,44.05,1644.44,2,6,21.0
125,36,114,5.07,26.57,40.75,2809.81,3,1,7.099999999999998
78,71,41,6.82,25.12,50.82,1754.09,4,1,39.9
59,12,65,5.63,29.52,68.46,278.11,4,5,53.7
64,79,52,5.62,32.1,64.69,2121.07,4,0,37.300000000000004
34,48,76,6.12,33.92,70.83,341.51,2,5,46.0
36,28,112,8.5,14.47,85.14,2843.2,5,5,37.0
127,85,108,4.72,11.14,42.2,1562.46,0,0,0.0
44,48,36,6.81,36.67,54.8,2910.42,5,5,59.0
62,19,111,4.83,24.09,45.95,272.42,1,1,32.300000000000004
80,56,60,5.12,39.14,65.18,1691.98,4,0,36.2
150,32,57,6.26,25.98,47.0,833.38,4,1,23.6
47,68,81,6.54,25.3,63.48,1994.08,4,5,34.1
126,29,62,5.54,28.69,79.39,1594.99,1,1,29.7
143,54,92,5.77,15.1,63.06,1785.15,3,6,5.1
103,53,103,4.85,17.62,80.29,1206.99,2,0,12.999999999999998
46,27,57,5.71,37.17,66.68,344.32,5,5,56.3
102,57,113,8.37,16.37,82.22,497.07,6,6,8.099999999999996
119,84,19,8.28,16.99,85.83,2603.97,4,2,32.5
95,10,103,5.84,25.3,60.47,2167.76,4,1,28.299999999999997
54,41,18,6.78,29.23,77.44,2354.31,3,5,65.3
116,73,95,8.14,10.03,58.13,543.47,1,6,6.299999999999999
119,16,104,4.52,23.7,72.31,337.88,2,1,18.9
32,80,55,7.74,21.97,32.25,248.37,2,5,45.4
25,55,19,8.29,35.97,88.01,1661.08,5,5,69.4
93,33,45,4.87,35.19,83.66,1602.51,1,1,45.199999999999996
29,78,19,5.15,37.18,83.6,509.81,6,5,61.3
40,45,36,8.34,35.26,46.88,1170.54,5,5,61.1
146,76,88,6.65,33.6,46.99,1684.6,1,2,0.0
75,59,28,4.56,35.77,54.16,2092.28,1,2,49.6
76,68,20,5.53,15.24,82.81,2468.0,3,2,49.8
149,67,41,6.3,20.23,81.52,1995.89,3,3,19.8
58,55,29,7.27,30.51,47.37,284.02,3,5,55.5
80,79,55,7.43,37.69,62.51,1841.06,6,4,31.3
129,32,69,8.48,30.01,58.51,446.18,1,1,25.1
33,21,88,5.65,16.24,69.04,1781.75,3,5,49.599999999999994
78,37,77,6.65,38.34,42.83,1252.76,0,1,35.7
128,67,26,6.63,32.81,35.1,1001.75,2,2,32.1
60,70,74,6.12,31.5,31.64,1548.81,4,2,32.4
159,64,66,5.18,32.88,52.89,1268.14,0,0,7.700000000000001
144,43,28,8.41,29.77,86.8,2524.76,6,2,33.7
55,27,14,7.91,10.66,71.09,834.18,1,5,70.8
40,44,91,6.49,17.61,74.95,582.79,1,5,39.4
75,57,90,6.91,38.7,86.71,2543.54,5,2,25.4
60,46,64,5.41,18.66,55.32,881.54,4,0,43.6
146,50,115,6.68,33.15,58.46,290.26,6,5,0.0
125,15,114,7.28,22.73,51.57,1283.55,5,1,13.399999999999999
105,89,13,6.56,37.23,40.88,2493.33,2,2,37.6
57,48,61,8.46,26.73,75.98,1409.24,6,5,45.1
27,13,28,6.95,28.96,84.4,1516.24,0,5,77.8
125,25,40,5.98,17.19,78.83,332.15,6,1,40.0
127,61,12,7.59,11.73,32.86,2190.94,1,2,39.800000000000004
149,28,76,5.18,32.7,47.95,1162.38,1,1,17.5
83,26,38,6.04,12.03,65.53,2240.13,5,1,53.099999999999994
63,54,62,5.89,31.65,49.63,1350.72,1,1,41.1
120,11,17,6.23,26.66,39.01,1675.3,1,1,54.900000000000006
125,11,14,7.63,34.6,62.3,1850.56,0,1,54.6
84,64,73,6.44,16.17,61.29,751.29,1,0,27.400000000000002
84,13,104,7.68,26.25,72.59,1023.24,1,1,30.299999999999997
137,21,36,6.81,28.43,89.99,1839.59,5,1,39.2
143,63,42,5.87,12.23,68.89,2504.23,4,2,22.4
127,69,67,7.74,32.17,49.01,2892.04,0,5,15.399999999999999
114,38,71,5.45,21.67,87.38,1667.68,0,1,27.0
155,70,91,5.4,13.87,64.28,406.96,6,0,0.0
86,55,97,6.52,21.61,68.74,2876.84,6,4,19.9
130,58,35,5.54,12.95,51.45,1378.15,3,2,30.6
95,27,104,4.54,36.64,57.11,486.94,1,1,22.799999999999997
68,85,23,7.09,23.7,55.12,2922.17,1,2,45.9
26,83,98,6.54,14.14,86.17,985.44,4,5,29.099999999999998
34,33,41,6.28,17.56,78.58,2039.15,2,5,64.5
104,26,112,8.37,31.74,35.44,603.53,0,1,17.2
57,65,50,6.78,33.58,48.83,2214.78,0,5,44.4
56,61,23,7.95,11.24,33.34,2933.68,4,5,56.7
141,80,57,5.06,11.8,61.01,2958.16,5,0,11.9
35,29,57,6.78,37.52,46.77,553.39,0,5,59.0
20,38,100,7.97,19.93,34.4,2352.38,2,5,43.6
56,84,95,6.83,15.8,76.32,2060.01,4,5,21.0
64,59,47,7.37,13.69,35.47,2444.12,2,6,45.300000000000004
102,24,16,5.99,24.28,46.29,1132.98,1,1,56.8
42,40,42,4.87,33.13,76.3,1324.89,1,5,59.6
113,22,116,6.33,25.63,60.69,1157.07,5,1,14.1
100,65,114,6.08,10.62,79.03,2346.25,4,2,5.899999999999999
85,28,106,7.97,24.52,54.87,2465.49,1,1,24.700000000000003
158,79,33,5.48,19.35,78.89,898.04,6,2,16.7
77,37,35,8.37,30.49,62.29,1803.81,6,1,52.8
48,31,59,8.33,25.71,35.28,552.71,3,5,53.699999999999996
102,37,51,5.49,38.96,58.29,236.86,4,1,38.9
148,89,104,5.89,27.94,63.21,1908.21,0,3,0.0
152,42,100,8.08,28.97,66.73,2552.57,0,6,2.8000000000000007
134,54,22,8.37,25.61,85.67,2738.35,3,2,35.800000000000004
53,57,40,6.27,19.33,41.01,1937.01,6,5,52.0
144,72,105,5.78,28.92,66.36,2464.34,4,0,0.0
97,35,32,6.6,19.99,75.12,1331.87,3,1,48.6
38,10,46,7.25,31.52,83.4,2650.94,6,5,68.2
107,71,113,5.59,17.11,61.52,2369.21,4,0,2.3999999999999986
100,81,118,7.45,21.03,42.84,1063.88,1,6,0.0
114,12,68,4.71,27.51,79.06,1872.21,6,1,36.0
91,86,67,4.7,28.85,84.3,343.52,4,0,21.099999999999998
57,14,25,6.05,30.06,36.38,610.44,6,5,69.7
59,54,48,5.91,31.01,43.78,2850.63,5,5,47.900000000000006
139,21,81,5.76,19.55,82.29,227.31,6,1,20.6
107,57,91,6.46,36.78,59.06,769.06,5,1,15.4
109,23,100,5.78,10.9,40.15,588.66,3,1,21.4
49,62,18,5.27,15.65,68.72,2156.55,5,5,60.5
151,54,73,5.74,12.1,57.5,495.94,5,2,10.3
152,41,101,8.4,30.15,88.08,256.36,1,6,2.6999999999999993
85,39,31,6.14,18.21,43.36,2805.37,5,1,51.4
114,21,84,6.28,15.97,51.73,2643.73,2,1,26.9
46,53,63,6.81,24.42,39.97,1203.66,2,5,46.099999999999994
75,34,31,8.43,28.57,32.98,481.47,5,1,55.9
64,51,23,5.47,28.58,46.43,2098.97,4,2,57.3
87,30,96,7.23,26.72,79.19,2672.72,6,1,27.5
24,70,75,7.36,39.76,46.03,2929.03,0,5,42.8
127,75,88,6.93,35.81,71.78,564.35,5,6,5.199999999999998
66,30,59,4.85,17.17,61.56,1880.59,1,1,48.6
152,35,14,7.21,32.76,61.18,1405.54,6,1,39.300000000000004
24,41,102,4.76,27.08,76.89,638.9,0,5,40.7
